judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"PENERAPAN ALGORITMA GREEDY PADA STRATEGI SERANG UNIT PLAYER DALAM GAME TOWER DEFENSE
",Penulis :  Adamas Galleh Mulyawan,"Dosen Pembimbing I :  Arik Kurniawati, S.Kom., M.T.","Dosen Pembimbing II :Ari Kusumaningsih, S.T., M.T.",,
,,,,,
,,,,,
,,,,,
Gerak Pekerja Pada Game Real Time Strategy Menggunakan Finite State Machine,Penulis : Adi Chandra Laksono,"Dosen Pembimbing I : Kurniawan Eka P, S.Kom., Msc","Dosen Pembimbing II :Arik Kurniawati, S.Kom., M.T.","Gerak pekerja ada pada game yang memiliki genre RTS (Real-Time Strategy). Gerak pekerja memiliki berbagai macam gerak. Oleh sebab itu dibutuhkan sebuah pendekatan konsep AI  untuk mendesain perilaku pekerja tersebut. Perilaku karakter tersebut harus ditambahi dengan AI (Artifical intelegent) agar perilakunya menjadi lebih hidup dan realistis.
Dalam penelitian ini AI yang digunakan adalah Finite State Machine. Finite State Machine digunakan untuk menentukan gerak pekerja terhadap parameter-parameter yang digunakan sebagai dasar gerak yang akan dilakukan . Selanjutnya akan disimulasikan pada game RTS dengan menggunakan game engine.
Hasil yang di peroleh dalam penelitian ini adalah penerapan metode Finite State machine untuk menentukan gerak pekerja berdasarkan parameter jumlah harta, prajurit, kondisi bangunan, dan stockpile (jumlah resources yang di bawa). 

Kata kunci : Game, Real-Time Strategy, Gerak Pekerja, Finite State Machine.
","Workers' movements in the game that has no genre RTS (Real-Time Strategy). Workers' movements have a wide range of motion. Therefore, it takes an approach to designing AI concepts such worker behavior. Character traits should be supplemented with AI (Artifical intelegent) that his conduct becomes more vivid and realistic.
In this study AI used is Finite State Machine. Finite State Machine is used to determine the movement of workers to the parameters that are used as the basis for the motion to be carried. Next will be simulated on RTS game using the game engine.
The results obtained in this study is the application of Finite State Machine method for determining the motion parameters based on the amount of wealth workers, soldiers, the condition of the building, and the stockpile (number of resources are taken).

Keywords: Games, Real-Time Strategy, Motion Workers, Finite State Machine."
,,,,,
,,,,,
,,,,,
